"SKU","ID","Tipo","Nombre","Precio normal","_bgm_min_1","_bgm_descuento_1","_bgm_min_2","_bgm_descuento_2","_bgm_modo_descuento","reglas"
"8588988998103","25400","simple","Almohadilla De Silicona Para Pestañas","1590,00","3","400","12","700","unico","#14 Descuento lote 400 ; #77 Descuento Nivel II lote 700"
"6323956013585","41275","simple","Ampolla Capilar Hidratante Bubbaluu Hidratación Intensa","2500","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"6323956013509","41271","simple","Ampolla Capilar Hidratante Bubbaluu Para Cabellos secos","2500","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"6323956013387","41268","simple","Ampolla Capilar Hidratante Bubbaluu Protección térmica","2500","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"6323956013615","41262","simple","Ampolla Capilar Hidratante Bubbaluu Restauración & Suavidad","2500","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"7822456320968","17370","simple","Anillo Mezclador","890","3","300","12","500","unico","#9 Descuento lote 300 ; #66 Descuento Nivel II lote 500"
"8588988783938","17542","variable","Anillo Para Pegamento Circulo 50Pcs","","3","400","12","700","unico","#14 Descuento lote 400 ; #77 Descuento Nivel II lote 700"
"8588988783921","17543","variable","Anillo Para Pegamento Corazón 50 Pcs","","3","400","12","700","unico","#14 Descuento lote 400 ; #77 Descuento Nivel II lote 700"
"85889810974348","25408","variable","Antifaz Para Dormir De Gatito Ref:97434","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981010604","25405","variable","Antifaz Para Dormir Osito Ref:101060","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981010666","25404","variable","Antifaz Para Dormir Panda Ref: 101066","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"760412310004","28945","simple","Antipelusa de uñas Max belle","2500","3","510","12","1000","unico","#20 Descuento lote 510 ; #95 Descuento Nivel II lote 1000"
"760412262464","23518","simple","Aplicador De Labios Set De 50Unid","2200","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8800577001088","26769","simple","Arcilla Moldeadora Mate Flamenco","2300,00","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"6944959244785","16230","simple","Balsamo Argan Morocco 800Ml Obopekal","4990","3","500",,,"unico","#19 Descuento lote 500"
"77411237771965","23289","simple","Balsamo Bichota Everglam 500Ml","3690","3","800","12","1400","unico","#31 Descuento lote 800 ; #110 Descuento Nivel II lote 1400"
"77392940740585","12045","simple","Bálsamo Biotina Copacabana 500ml","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"77386548210196","5775","simple","Balsamo Bomba Magia De Unicornio","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"6323956010980","37995","simple","Balsamo Bubbaluu Frutilla 350ml","3690","3","600","12","1000","unico","#24 Descuento lote 600 ; #95 Descuento Nivel II lote 1000"
